"Image of the issue","Address/landmark/house number","Ward name/number","Date of recording the image","Time of recording the image","Observations","Latitude","Longitude","LatLngs","Type","Entry Type"
"http://mapunitygroups.com//uploads/tmp/1472744137-7372-3314/1472744083383.jpg","7th cross Malleshwaram, between Margosa& Sampige","Kadumalleshwara","01/09/2016","21:05","Gets cleared but comes back","12.998355704587478","77.57047511637211","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472788469-7372-4981/Image_of_the_blackspot__.jpg","Kundalahalli gate bus stop","85","02/09/2016","09:00","Gets Cleared Daily But Comes Back","12.9558607824402","77.714066170156","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472793763-7372-0317/Image_of_the_blackspot__.jpg","Intersection of 10th B main road and Hormavau Main road, HRBR Layout 1st Block.","Banaswadi","02/09/2016","06:50","Gets Cleared Daily But Comes Back","13.0176888339081","77.6549831405282","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472793952-7372-7867/Image_of_the_blackspot__.jpg","Hormavau Main road, Dodda Banaswadi, opp Shree Makkuntam Devi Temple","Banaswadi","02/09/2016","07:00","Gets Cleared Daily But Comes Back","13.0152839533718","77.6542270928621","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472794374-7372-0408/Image_of_the_blackspot__.jpg","Banaswadi 100 feet road, opp Wild craft store","Banaswadi","02/09/2016","07:15","Gets Cleared Daily But Comes Back","13.0172821422213","77.6517148688436","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472794376-7372-7994/Image_of_the_blackspot__.jpg","Banaswadi 100 feet road, opp Wild craft store","Banaswadi","02/09/2016","07:15","Gets Cleared Daily But Comes Back","13.0172821422213","77.6517148688436","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472794679-7372-1533/Image_of_the_blackspot__.jpg","Banaswadi 100feet road, near Andhra Bank","Banaswadi","02/09/2016","07:30","Gets Cleared Daily But Comes Back","13.0155397302835","77.6497437804937","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472794808-7372-2835/Image_of_the_blackspot__.jpg","Banaswadi 100 feet road,","Banaswadi","02/09/2016","07:40","Gets Cleared Daily But Comes Back","13.0141674170959","77.6488281413913","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472794952-7372-4575/Image_of_the_blackspot__.jpg","2nd cross road, HRBR Layout 1st Block, opp Just Books","Banaswadi","02/09/2016","07:50","Gets Cleared Daily But Comes Back","13.0149386704556","77.6454787328839","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472795084-7372-8925/Image_of_the_blackspot__.jpg","2nd cross road, HRBR layout 1st block, opp Om Shakti Temple","Bansawadi","02/09/2016","08:00","Gets Cleared Daily But Comes Back","13.0150941621595","77.6430721208453","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473146565-3718-5777/IMG_20160906_073727834.jpg","2nd cross road, HRBR layout 1st block, opp Om Shakti Temple","Bansawadi","02/09/2016","08:00","Gets cleared but comes back","13.0150941621595","77.6430721208453","","point","Timeline"
"http://mapunitygroups.com//uploads/tmp/1472795178-7372-3811/Image_of_the_blackspot__.jpg","7th Main road, HRBR layout, opp Specialist Hospital","Banaswadi","02/09/2016","08:10","Gets Cleared Daily But Comes Back","13.0170139540049","77.6429980248213","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472795401-7372-2954/Image_of_the_blackspot__.jpg","2nd K cross road, HRBR Layout 1st Block, behind Maha Ganapathi Temple","Banaswadi","02/09/2016","08:25","Gets Cleared Daily But Comes Back","13.0176463681407","77.6468097791076","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472795496-7372-9358/Image_of_the_blackspot__.jpg","2nd K cross road, HRBR layout 1st block, behind Maha Ganapathi Temple","Banaswadi","02/09/2016","08:30","Gets Cleared Daily But Comes Back","13.0175895293329","77.6468825340271","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472820773-7372-7513/mapunity_1472820768999","off MG Road, Chinnaswamy stadium","Shanthala Nagar , ward 111","02/09/2016","16:00","BBMP/ sweepers dump waste here, This is mainly leaf litter","12.976745519427107","77.6003696769476","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472979418-7372-4709/1472979276357.jpg","wheeler road, near Indian gymkhana","Sarvagna Nagar / ward 79","04/09/2016","19:45","It's a lorry transfer point, BBMP/ sweepers dump waste here, Garbage is burnt here regularly, This is a ward boundary area, BBMP auto/pushcart is parked here","12.995698759752015","77.617078833282","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472979673-7372-0612/1472979524312.jpg","Dickenson Road, at the intersection of st Johns road","Sampangiram Nagar / ward 110","04/09/2016","08:00","BBMP/ sweepers dump waste here, Gets cleared but comes back, Garbage is burnt here regularly","12.980654943690356","77.61096205562353","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472979852-7372-1666/1472979738601.jpg","MG road, opp Metro Rangoli Arts center","Shanthala Nagar, ward 111","04/09/2016","08:05","BBMP/ sweepers dump waste here, Gets cleared but comes back","12.975625869380691","77.60538842529058","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472980038-7372-7895/1472979918730.jpg","intersection of church street and museum road, opp Empire hotel","Shantala Nagar / ward 111","04/09/2016","08:15","It's a lorry transfer point, BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here","12.975515439660295","77.60255768895149","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1475911277-25182-6691/Image1.jpg","Dispensary road","Sampangiram Nagar , ward 110","04/09/2016","12:00","BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here","12.981552410230295","77.60819032788277","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1475912351-8252-4295/Image2.jpg","Dispensary Road","Sampangiram Nagar, ward 110","04/09/2016","12:50","It's a lorry transfer point, BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here","12.98115382701957","77.60934434831142","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473137292-3718-8296/1473137175241.jpg","intersection of 9th main and 2 G cross, HRBR layout 1 st block, near Maxwell school","Banaswadi / ward 27","06/09/2016","06:55","BBMP/ sweepers dump waste here, Gets cleared but comes back","13.01680031787327","77.64744143933058","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473137452-3718-5491/1473137354723.jpg","Intersection of 2 D cross and Banaswadi 100 feet road, OMBR layout","Banaswadi / ward 27","06/09/2016","07:00","Gets cleared but comes back","13.011120599866308","77.64611005783081","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473137580-3718-8669/1473137500039.jpg","3rd cross road, OMBR Layout","Banaswadi / ward 27","06/09/2016","07:00","Gets cleared but comes back","13.007675204561163","77.64801107347012","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473137817-3718-5701/1473137666878.jpg","2nd Main, OMBR Layout.","Benniganahalli / ward 50","06/09/2016","07:15","BBMP/ sweepers dump waste here, Gets cleared but comes back, Garbage is burnt here regularly, Bin present, people still dump outside, This is a ward boundary area","13.006871587887558","77.64808919280767","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473137971-3718-8534/1473137921204.jpg","Chikka Banaswadi Main road","Banaswadi / ward 27","06/09/2016","07:00","Gets cleared but comes back, This is a ward boundary area","13.006492972463018","77.64524236321449","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473138110-3718-9537/1473138043465.jpg","Chikka Banaswadi Main road","Benniganahalli / ward 50","06/09/2016","07:00","Gets cleared but comes back, This is a ward boundary area","13.006390723332082","77.64505561441182","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473138204-3718-7947/1473138149969.jpg","Chikka Banaswadi Main road","Banaswadi / ward 27","06/09/2016","07:00","Gets cleared but comes back, This is a ward boundary area","13.006475005366383","77.64471162110567","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473138323-3718-0390/1473138260313.jpg","Chikka Banaswadi Main road","Benniganahalli / ward 50","06/09/2016","07:35","Gets cleared but comes back, This is a ward boundary area","13.006299254425242","77.64332056045534","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473138455-526-2246/1473138400345.jpg","Chikka Banaswadi Main road","Benniganahalli / ward 50","06/09/2016","07:00","Gets cleared but comes back, This is a ward boundary area","13.00628096063983","77.64293231070042","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473138568-3718-7623/1473138515009.jpg","Chikka Banasawadi Main road","Benniganahalli / ward 50","06/09/2016","07:00","Gets cleared but comes back, This is a ward boundary area","13.006207458809815","77.64256116002798","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473138674-3718-4989/1473138608889.jpg","Chikka Banasawadu Main road","Banasawadi / ward 27","06/09/2016","07:00","Gets cleared but comes back, Garbage is burnt here regularly, This is a ward boundary area","13.005510007027981","77.63826627284288","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473138778-3718-8135/1473138720217.jpg","Chikka Banaswadi Main road","Benniganahalli / ward 50","06/09/2016","07:00","Gets cleared but comes back, This is a ward boundary area","13.005606376360491","77.63895493000746","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473140035-3718-3245/1473139967395.jpg","8th C Main, HRBR Layout 1st Block","Banaswadi / ward 27","06/09/2016","08:05","Gets cleared but comes back","13.020728710629749","77.64625422656536","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473140157-3718-7272/1473140101426.jpg","8th Main west, HRBR Layout 1st Block","Banasawadi / ward 27","06/09/2016","08:10","Gets cleared but comes back","13.019917949821009","77.6448930054903","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473140268-3718-1249/1473140217651.jpg","8th Main west, HRBR Layout 1st Block","Banaswadi / ward 27","06/09/2016","08:15","Gets cleared but comes back","13.018179149664848","77.64479711651802","","point","Original"
